F,I,I,Q,A
tensor(10),tensor(9.9436)
tensor(11),tensor(10.9261)
tensor(67),tensor(67.1381)
tensor(101),tensor(100.7202)
tensor(97),tensor(96.5473)
tensor(164),tensor(163.9962)
tensor(179),tensor(178.9976)
tensor(183),tensor(183.3095)
tensor(184),tensor(184.3200)
tensor(136),tensor(135.8481)
tensor(109),tensor(108.6606)
tensor(22),tensor(21.9331)
tensor(91),tensor(90.8550)
tensor(187),tensor(186.9247)
tensor(188),tensor(188.1031)
tensor(189),tensor(188.8762)
tensor(28),tensor(27.9034)
tensor(137),tensor(137.0469)
tensor(175),tensor(175.0506)
tensor(146),tensor(146.0356)
tensor(167),tensor(166.9587)
tensor(190),tensor(189.9264)
tensor(46),tensor(46.1008)
tensor(36),tensor(35.9734)
tensor(147),tensor(146.7644)
tensor(148),tensor(148.0300)
tensor(191),tensor(190.9551)
tensor(156),tensor(154.9999)
tensor(134),tensor(134.2098)
tensor(149),tensor(149.3826)
tensor(157),tensor(157.0230)
tensor(192),tensor(191.7396)
tensor(159),tensor(158.9990)
tensor(63),tensor(63.1213)
tensor(64),tensor(64.3245)
tensor(110),tensor(110.2521)
tensor(111),tensor(111.4511)
tensor(144),tensor(143.9822)
tensor(85),tensor(85.0216)
tensor(145),tensor(144.7557)
tensor(126),tensor(125.3321)
tensor(139),tensor(139.1548)
tensor(193),tensor(192.7954)
tensor(194),tensor(193.9047)
tensor(47),tensor(46.9568)
tensor(37),tensor(36.8036)
tensor(26),tensor(25.7319)
tensor(112),tensor(111.7236)
tensor(135),tensor(135.0641)
tensor(100),tensor(100.0644)
tensor(127),tensor(126.8800)
tensor(74),tensor(74.0397)
tensor(195),tensor(195.0389)
tensor(92),tensor(92.0636)
tensor(4),tensor(5.0624)
tensor(32),tensor(31.8388)
tensor(61),tensor(61.0218)
tensor(128),tensor(128.0236)
tensor(150),tensor(150.0848)
tensor(120),tensor(119.2580)
tensor(68),tensor(68.0455)
tensor(113),tensor(110.4828)
tensor(86),tensor(85.2665)
tensor(48),tensor(48.0275)
tensor(70),tensor(69.9947)
tensor(71),tensor(70.9180)
tensor(114),tensor(113.9793)
tensor(89),tensor(88.6660)
tensor(107),tensor(108.1119)
tensor(151),tensor(150.4553)
tensor(196),tensor(196.1287)
tensor(160),tensor(160.7090)
tensor(115),tensor(114.6583)
tensor(116),tensor(115.7224)
tensor(161),tensor(161.6380)
tensor(166),tensor(165.0433)
tensor(129),tensor(129.1496)
tensor(117),tensor(117.2478)
tensor(93),tensor(93.0630)
tensor(78),tensor(77.9818)
tensor(87),tensor(87.1086)
tensor(118),tensor(117.1246)
tensor(59),tensor(58.9653)
tensor(130),tensor(130.6459)
tensor(158),tensor(158.3393)
tensor(124),tensor(123.7986)
tensor(79),tensor(79.2765)
tensor(123),tensor(122.9058)
tensor(152),tensor(151.9441)
tensor(94),tensor(94.1237)
tensor(52),tensor(52.1730)
tensor(121),tensor(120.9249)
tensor(99),tensor(98.7526)
tensor(103),tensor(103.2532)
tensor(125),tensor(124.9091)
tensor(168),tensor(168.2634)
tensor(65),tensor(65.0972)
tensor(15),tensor(15.0147)
tensor(39),tensor(39.0275)
tensor(142),tensor(142.1328)
tensor(16),tensor(15.7483)
tensor(1),tensor(3.0001)
tensor(8),tensor(7.7103)
tensor(40),tensor(40.0584)
tensor(42),tensor(41.9510)
tensor(13),tensor(12.9947)
tensor(176),tensor(175.7465)
tensor(177),tensor(177.2072)
tensor(140),tensor(139.9922)
tensor(143),tensor(143.2395)
tensor(131),tensor(130.7834)
tensor(172),tensor(174.5293)
tensor(181),tensor(181.0117)
tensor(83),tensor(82.7586)
tensor(84),tensor(83.6877)
tensor(95),tensor(95.0465)
tensor(25),tensor(42.2715)
tensor(153),tensor(153.1009)
tensor(132),tensor(132.0291)
tensor(173),tensor(173.0017)
tensor(197),tensor(197.1121)
tensor(75),tensor(74.9363)
tensor(154),tensor(153.9485)
tensor(41),tensor(40.9643)
tensor(53),tensor(52.4690)
tensor(169),tensor(169.0713)
tensor(162),tensor(162.0780)
tensor(122),tensor(121.9395)
tensor(174),tensor(173.5513)
tensor(198),tensor(197.9630)
tensor(199),tensor(197.9993)
tensor(178),tensor(178.3425)
tensor(182),tensor(180.)
tensor(77),tensor(75.7256)
tensor(19),tensor(18.6448)
tensor(138),tensor(138.1182)
tensor(81),tensor(80.9522)
tensor(66),tensor(66.2855)
tensor(96),tensor(96.9010)
tensor(80),tensor(80.1896)
tensor(163),tensor(164.9031)
tensor(170),tensor(170.0583)
tensor(155),tensor(154.9916)
tensor(133),tensor(132.8265)
tensor(102),tensor(101.9895)
tensor(35),tensor(34.8988)
tensor(104),tensor(104.1739)
tensor(72),tensor(72.1355)
tensor(43),tensor(43.2134)
tensor(14),tensor(13.6506)
tensor(20),tensor(19.6880)
tensor(55),tensor(55.1849)
tensor(108),tensor(107.8424)
tensor(119),tensor(119.0714)
tensor(165),tensor(165.1513)
tensor(76),tensor(75.9858)
tensor(105),tensor(104.9896)
tensor(56),tensor(56.0970)
tensor(27),tensor(26.9292)
tensor(2),tensor(3.0003)
tensor(18),tensor(17.6082)
tensor(180),tensor(179.9997)
tensor(33),tensor(32.6860)
tensor(34),tensor(34.0900)
tensor(88),tensor(87.7671)
tensor(106),tensor(106.0513)
tensor(6),tensor(6.0097)
tensor(54),tensor(53.9738)
tensor(57),tensor(57.0237)
tensor(58),tensor(58.1226)
tensor(29),tensor(28.8604)
tensor(141),tensor(141.2552)
tensor(49),tensor(49.2095)
tensor(21),tensor(20.8708)
tensor(185),tensor(184.9991)
tensor(23),tensor(23.0098)
tensor(50),tensor(50.1205)
tensor(90),tensor(89.9777)
tensor(98),tensor(97.9733)
tensor(73),tensor(72.9492)
tensor(186),tensor(185.7821)
tensor(44),tensor(44.0078)
tensor(7),tensor(6.5903)
tensor(51),tensor(51.1555)
tensor(171),tensor(171.0087)
tensor(62),tensor(61.9278)
tensor(12),tensor(12.1474)
tensor(9),tensor(8.6598)
tensor(30),tensor(29.8957)
tensor(31),tensor(30.9348)
tensor(82),tensor(81.9616)
tensor(60),tensor(60.0532)
tensor(45),tensor(44.9100)
tensor(17),tensor(16.8112)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0067)
tensor(24),tensor(23.8246)
tensor(10),tensor(9.9636)
tensor(11),tensor(10.9102)
tensor(67),tensor(66.7456)
tensor(101),tensor(100.8978)
tensor(97),tensor(96.9216)
tensor(164),tensor(164.0008)
tensor(179),tensor(179.0981)
tensor(183),tensor(182.7642)
tensor(184),tensor(184.0334)
tensor(136),tensor(136.0668)
tensor(109),tensor(108.6805)
tensor(22),tensor(21.9552)
tensor(91),tensor(90.8086)
tensor(187),tensor(186.9013)
tensor(188),tensor(187.9205)
tensor(189),tensor(189.0558)
tensor(28),tensor(27.9888)
tensor(137),tensor(137.1172)
tensor(175),tensor(175.1311)
tensor(146),tensor(146.0150)
tensor(167),tensor(167.0110)
tensor(190),tensor(190.0230)
tensor(46),tensor(45.9880)
tensor(36),tensor(36.0013)
tensor(147),tensor(147.0078)
tensor(148),tensor(148.0842)
tensor(191),tensor(190.8837)
tensor(156),tensor(154.9999)
tensor(134),tensor(133.9854)
tensor(149),tensor(149.0885)
tensor(157),tensor(157.0201)
tensor(192),tensor(191.8385)
tensor(159),tensor(159.0225)
tensor(63),tensor(62.9463)
tensor(64),tensor(64.0489)
tensor(110),tensor(109.7777)
tensor(111),tensor(111.0480)
tensor(144),tensor(143.9958)
tensor(85),tensor(85.1240)
tensor(145),tensor(144.8647)
tensor(126),tensor(125.3785)
tensor(139),tensor(139.2266)
tensor(193),tensor(193.0703)
tensor(194),tensor(193.9688)
tensor(47),tensor(47.0182)
tensor(37),tensor(36.9512)
tensor(26),tensor(25.8651)
tensor(112),tensor(111.7791)
tensor(135),tensor(135.0992)
tensor(100),tensor(100.0650)
tensor(127),tensor(126.8901)
tensor(74),tensor(73.5890)
tensor(195),tensor(195.1661)
tensor(92),tensor(91.7429)
tensor(4),tensor(4.2476)
tensor(5),tensor(5.3665)
tensor(32),tensor(31.7855)
tensor(61),tensor(61.0087)
tensor(128),tensor(127.5141)
tensor(150),tensor(150.0385)
tensor(120),tensor(119.9195)
tensor(68),tensor(68.1269)
tensor(69),tensor(69.2603)
tensor(113),tensor(112.8036)
tensor(86),tensor(86.3958)
tensor(48),tensor(48.0933)
tensor(70),tensor(70.0639)
tensor(71),tensor(70.9410)
tensor(114),tensor(113.6279)
tensor(89),tensor(89.1572)
tensor(107),tensor(107.0032)
tensor(151),tensor(150.9576)
tensor(196),tensor(196.0705)
tensor(160),tensor(160.3063)
tensor(115),tensor(115.0937)
tensor(116),tensor(115.6308)
tensor(161),tensor(161.3875)
tensor(166),tensor(165.7999)
tensor(129),tensor(128.7935)
tensor(117),tensor(116.6768)
tensor(93),tensor(93.1527)
tensor(78),tensor(78.0591)
tensor(87),tensor(86.9604)
tensor(118),tensor(117.8135)
tensor(59),tensor(59.1215)
tensor(130),tensor(129.7845)
tensor(158),tensor(158.1446)
tensor(124),tensor(124.0331)
tensor(79),tensor(79.0735)
tensor(123),tensor(122.9596)
tensor(152),tensor(152.0211)
tensor(94),tensor(94.2178)
tensor(52),tensor(52.2069)
tensor(121),tensor(120.8416)
tensor(99),tensor(99.1266)
tensor(103),tensor(103.3602)
tensor(125),tensor(125.0600)
tensor(168),tensor(168.0764)
tensor(65),tensor(65.2024)
tensor(15),tensor(15.0161)
tensor(39),tensor(39.0233)
tensor(142),tensor(142.1622)
tensor(16),tensor(15.8320)
tensor(1),tensor(3.0001)
tensor(8),tensor(7.5913)
tensor(40),tensor(39.8580)
tensor(42),tensor(41.9610)
tensor(13),tensor(12.9977)
tensor(176),tensor(176.3920)
tensor(177),tensor(176.8639)
tensor(140),tensor(140.1164)
tensor(143),tensor(142.8565)
tensor(131),tensor(131.2163)
tensor(172),tensor(172.1614)
tensor(181),tensor(181.0921)
tensor(83),tensor(83.2263)
tensor(84),tensor(84.0907)
tensor(95),tensor(94.9122)
tensor(25),tensor(24.7777)
tensor(153),tensor(152.9070)
tensor(132),tensor(131.9525)
tensor(173),tensor(173.2364)
tensor(197),tensor(197.1346)
tensor(75),tensor(74.9295)
tensor(154),tensor(153.9991)
tensor(41),tensor(40.6682)
tensor(53),tensor(52.8061)
tensor(169),tensor(169.0160)
tensor(162),tensor(161.8651)
tensor(122),tensor(122.0059)
tensor(174),tensor(174.1765)
tensor(198),tensor(197.9995)
tensor(199),tensor(197.9999)
tensor(178),tensor(177.9411)
tensor(182),tensor(179.9996)
tensor(77),tensor(77.0245)
tensor(19),tensor(18.7165)
tensor(38),tensor(37.9475)
tensor(138),tensor(138.0607)
tensor(81),tensor(80.9686)
tensor(66),tensor(66.1601)
tensor(96),tensor(96.8031)
tensor(80),tensor(80.0536)
tensor(163),tensor(162.8913)
tensor(170),tensor(170.0968)
tensor(155),tensor(154.9866)
tensor(133),tensor(132.9963)
tensor(102),tensor(102.3395)
tensor(35),tensor(35.0727)
tensor(104),tensor(104.0688)
tensor(72),tensor(72.0443)
tensor(43),tensor(43.3491)
tensor(14),tensor(14.0401)
tensor(20),tensor(19.9147)
tensor(55),tensor(55.0362)
tensor(108),tensor(107.7404)
tensor(119),tensor(118.9444)
tensor(165),tensor(165.1903)
tensor(76),tensor(76.0383)
tensor(105),tensor(104.8741)
tensor(56),tensor(56.1358)
tensor(27),tensor(26.8988)
tensor(2),tensor(3.2187)
tensor(18),tensor(17.8960)
tensor(180),tensor(179.9999)
tensor(33),tensor(32.8361)
tensor(34),tensor(34.0793)
tensor(88),tensor(87.7076)
tensor(106),tensor(106.1977)
tensor(6),tensor(6.0411)
tensor(54),tensor(53.9902)
tensor(57),tensor(57.0698)
tensor(58),tensor(58.0378)
tensor(29),tensor(28.8713)
tensor(141),tensor(141.2135)
tensor(49),tensor(49.0889)
tensor(21),tensor(21.0381)
tensor(185),tensor(185.0002)
tensor(23),tensor(23.0044)
tensor(50),tensor(50.0182)
tensor(90),tensor(89.8857)
tensor(98),tensor(98.0400)
tensor(73),tensor(72.9665)
tensor(186),tensor(185.8211)
tensor(44),tensor(44.0236)
tensor(7),tensor(6.6604)
tensor(51),tensor(51.1618)
tensor(171),tensor(171.0544)
tensor(62),tensor(61.9294)
tensor(12),tensor(12.2870)
tensor(30),tensor(29.9046)
tensor(31),tensor(30.8996)
tensor(82),tensor(81.8424)
tensor(60),tensor(60.0576)
tensor(45),tensor(44.9149)
tensor(17),tensor(16.6745)
tensor(3),tensor(3.0018)
tensor(24),tensor(23.9501)
tensor(10),tensor(9.9663)
tensor(11),tensor(10.9485)
tensor(67),tensor(67.1681)
tensor(101),tensor(101.0194)
tensor(97),tensor(96.8363)
tensor(164),tensor(164.1398)
tensor(179),tensor(179.2271)
tensor(183),tensor(182.7817)
tensor(184),tensor(184.1595)
tensor(136),tensor(135.9756)
tensor(109),tensor(108.6965)
tensor(22),tensor(21.9551)
tensor(91),tensor(90.8063)
tensor(187),tensor(187.0060)
tensor(188),tensor(187.9096)
tensor(189),tensor(188.8795)
tensor(28),tensor(27.9713)
tensor(137),tensor(137.1418)
tensor(175),tensor(175.3269)
tensor(146),tensor(146.0130)
tensor(167),tensor(167.0287)
tensor(190),tensor(190.0331)
tensor(46),tensor(46.0851)
tensor(36),tensor(36.0122)
tensor(147),tensor(146.9817)
tensor(148),tensor(147.9781)
tensor(191),tensor(191.1080)
tensor(156),tensor(154.9995)
tensor(134),tensor(134.1475)
tensor(149),tensor(149.1682)
tensor(157),tensor(157.0253)
tensor(192),tensor(191.8038)
tensor(159),tensor(159.0663)
tensor(63),tensor(63.1110)
tensor(64),tensor(63.8317)
tensor(110),tensor(110.1905)
tensor(111),tensor(110.9746)
tensor(144),tensor(143.9964)
tensor(85),tensor(85.1847)
tensor(145),tensor(144.6855)
tensor(126),tensor(125.3649)
tensor(139),tensor(139.0735)
tensor(193),tensor(192.6437)
tensor(194),tensor(193.9786)
tensor(47),tensor(46.8593)
tensor(37),tensor(37.0793)
tensor(26),tensor(25.9677)
tensor(112),tensor(111.7314)
tensor(135),tensor(135.1376)
tensor(100),tensor(100.0427)
tensor(127),tensor(126.8198)
tensor(74),tensor(74.1215)
tensor(195),tensor(194.8689)
tensor(92),tensor(91.9271)
tensor(4),tensor(4.1937)
tensor(5),tensor(5.3797)
tensor(32),tensor(31.7309)
tensor(61),tensor(60.9527)
tensor(128),tensor(127.8497)
tensor(150),tensor(150.0988)
tensor(120),tensor(119.9920)
tensor(68),tensor(67.8803)
tensor(69),tensor(69.1433)
tensor(113),tensor(112.8277)
tensor(86),tensor(86.3017)
tensor(48),tensor(48.2025)
tensor(70),tensor(70.0916)
tensor(71),tensor(71.1733)
tensor(114),tensor(114.2036)
tensor(89),tensor(88.9915)
tensor(107),tensor(106.8603)
tensor(151),tensor(150.9515)
tensor(196),tensor(195.6590)
tensor(160),tensor(159.8753)
tensor(115),tensor(115.1895)
tensor(116),tensor(115.6026)
tensor(161),tensor(161.2186)
tensor(166),tensor(165.7853)
tensor(129),tensor(128.9630)
tensor(117),tensor(117.0858)
tensor(93),tensor(93.0170)
tensor(78),tensor(78.2779)
tensor(87),tensor(86.9708)
tensor(118),tensor(118.0103)
tensor(59),tensor(59.0005)
tensor(130),tensor(130.0426)
tensor(158),tensor(157.7010)
tensor(124),tensor(124.0266)
tensor(79),tensor(78.8134)
tensor(123),tensor(123.0928)
tensor(152),tensor(152.0264)
tensor(94),tensor(93.9338)
tensor(52),tensor(52.2403)
tensor(121),tensor(120.8055)
tensor(99),tensor(98.9493)
tensor(103),tensor(103.2608)
tensor(125),tensor(125.0207)
tensor(168),tensor(167.9890)
tensor(65),tensor(65.1673)
tensor(15),tensor(15.0108)
tensor(39),tensor(39.0245)
tensor(142),tensor(142.1016)
tensor(16),tensor(15.9321)
tensor(1),tensor(3.0002)
tensor(8),tensor(7.6724)
tensor(40),tensor(39.9452)
tensor(42),tensor(42.0431)
tensor(13),tensor(12.9981)
tensor(176),tensor(176.0228)
tensor(177),tensor(177.1105)
tensor(140),tensor(140.2873)
tensor(143),tensor(143.2610)
tensor(131),tensor(130.9908)
tensor(172),tensor(172.1193)
tensor(181),tensor(180.9294)
tensor(83),tensor(83.1860)
tensor(84),tensor(84.1589)
tensor(95),tensor(95.0132)
tensor(25),tensor(24.7379)
tensor(153),tensor(153.1171)
tensor(132),tensor(131.7332)
tensor(173),tensor(173.3062)
tensor(197),tensor(197.2102)
tensor(75),tensor(74.9858)
tensor(154),tensor(154.0843)
tensor(41),tensor(40.7560)
tensor(53),tensor(52.8241)
tensor(169),tensor(169.1626)
tensor(162),tensor(161.7925)
tensor(122),tensor(122.0854)
tensor(174),tensor(174.1720)
tensor(198),tensor(198.0000)
tensor(199),tensor(197.9997)
tensor(178),tensor(178.0038)
tensor(182),tensor(180.0000)
tensor(77),tensor(78.2698)
tensor(19),tensor(18.7851)
tensor(38),tensor(37.9861)
tensor(138),tensor(138.2291)
tensor(81),tensor(80.9799)
tensor(66),tensor(66.1068)
tensor(96),tensor(96.0813)
tensor(80),tensor(80.1144)
tensor(163),tensor(162.7761)
tensor(170),tensor(170.1957)
tensor(155),tensor(154.9910)
tensor(133),tensor(132.7488)
tensor(102),tensor(102.0795)
tensor(35),tensor(34.7334)
tensor(104),tensor(104.1339)
tensor(72),tensor(71.9613)
tensor(43),tensor(43.2071)
tensor(14),tensor(14.1030)
tensor(20),tensor(19.7748)
tensor(55),tensor(55.0590)
tensor(108),tensor(107.8521)
tensor(119),tensor(118.8751)
tensor(165),tensor(165.1877)
tensor(76),tensor(76.0331)
tensor(105),tensor(105.0087)
tensor(56),tensor(56.0239)
tensor(27),tensor(26.8447)
tensor(18),tensor(17.6631)
tensor(180),tensor(179.9996)
tensor(33),tensor(32.9925)
tensor(34),tensor(33.7530)
tensor(88),tensor(87.8878)
tensor(106),tensor(106.0250)
tensor(6),tensor(6.0171)
tensor(54),tensor(53.9248)
tensor(57),tensor(57.0835)
tensor(58),tensor(58.0280)
tensor(29),tensor(28.7540)
tensor(141),tensor(141.2192)
tensor(49),tensor(49.1782)
tensor(21),tensor(20.8961)
tensor(185),tensor(184.9986)
tensor(23),tensor(23.0039)
tensor(50),tensor(50.1192)
tensor(90),tensor(89.9465)
tensor(98),tensor(98.0930)
tensor(73),tensor(73.0646)
tensor(186),tensor(185.9653)
tensor(44),tensor(43.9767)
tensor(7),tensor(6.7134)
tensor(51),tensor(51.1408)
tensor(171),tensor(171.3198)
tensor(62),tensor(61.9390)
tensor(9),tensor(8.8173)
tensor(30),tensor(29.7897)
tensor(31),tensor(30.9748)
tensor(82),tensor(82.1225)
tensor(60),tensor(60.0269)
tensor(45),tensor(44.8168)
tensor(17),tensor(16.7245)
tensor(0),tensor(3.0002)
tensor(24),tensor(23.7711)
tensor(10),tensor(9.9241)
tensor(11),tensor(11.0136)
tensor(67),tensor(66.9156)
tensor(101),tensor(101.1468)
tensor(97),tensor(97.2491)
tensor(164),tensor(164.0473)
tensor(179),tensor(179.2890)
tensor(183),tensor(182.5002)
tensor(184),tensor(184.3503)
tensor(136),tensor(136.1099)
tensor(109),tensor(108.7314)
tensor(91),tensor(90.9718)
tensor(187),tensor(186.8261)
tensor(188),tensor(187.9942)
tensor(189),tensor(189.0467)
tensor(28),tensor(27.8458)
tensor(137),tensor(137.1540)
tensor(175),tensor(175.0931)
tensor(146),tensor(146.0226)
tensor(167),tensor(167.2349)
tensor(190),tensor(190.0595)
tensor(46),tensor(46.0979)
tensor(36),tensor(35.9828)
tensor(147),tensor(146.9074)
tensor(148),tensor(148.1846)
tensor(191),tensor(190.7643)
tensor(156),tensor(154.9999)
tensor(134),tensor(133.9505)
tensor(149),tensor(149.2511)
tensor(157),tensor(157.0267)
tensor(192),tensor(191.7763)
tensor(159),tensor(159.0762)
tensor(64),tensor(63.8574)
tensor(110),tensor(109.6206)
tensor(111),tensor(111.0281)
tensor(144),tensor(143.9996)
tensor(85),tensor(85.0787)
tensor(145),tensor(144.6231)
tensor(126),tensor(125.7285)
tensor(139),tensor(139.0618)
tensor(193),tensor(192.7439)
tensor(194),tensor(193.9430)
tensor(47),tensor(46.8234)
tensor(37),tensor(36.9180)
tensor(26),tensor(25.8158)
tensor(112),tensor(111.9399)
tensor(135),tensor(135.0250)
tensor(100),tensor(99.9293)
tensor(127),tensor(126.8527)
tensor(74),tensor(73.9299)
tensor(195),tensor(194.9886)
tensor(92),tensor(91.8623)
tensor(4),tensor(4.3886)
tensor(5),tensor(5.3089)
tensor(32),tensor(31.7391)
tensor(61),tensor(60.9512)
tensor(128),tensor(127.8462)
tensor(150),tensor(150.1188)
tensor(120),tensor(119.9954)
tensor(68),tensor(67.9115)
tensor(113),tensor(112.7735)
tensor(86),tensor(86.2010)
tensor(48),tensor(48.1084)
tensor(70),tensor(70.2229)
tensor(71),tensor(70.9448)
tensor(114),tensor(114.3216)
tensor(89),tensor(88.8136)
tensor(107),tensor(106.9079)
tensor(151),tensor(151.0565)
tensor(196),tensor(196.2425)
tensor(160),tensor(160.0858)
tensor(115),tensor(115.1408)
tensor(116),tensor(116.0690)
tensor(161),tensor(160.8293)
tensor(166),tensor(165.5786)
tensor(129),tensor(129.0534)
tensor(117),tensor(116.8309)
tensor(93),tensor(92.9938)
tensor(78),tensor(78.0679)
tensor(87),tensor(87.0028)
tensor(118),tensor(118.1242)
tensor(59),tensor(59.0087)
tensor(130),tensor(129.9059)
tensor(158),tensor(157.7260)
tensor(124),tensor(123.8165)
tensor(79),tensor(79.0981)
tensor(123),tensor(122.9330)
tensor(152),tensor(152.0453)
tensor(94),tensor(94.5042)
tensor(52),tensor(52.2719)
tensor(121),tensor(120.9992)
tensor(99),tensor(99.0138)
tensor(103),tensor(103.5796)
tensor(125),tensor(124.9886)
tensor(168),tensor(168.0460)
tensor(65),tensor(64.9585)
tensor(15),tensor(15.0068)
tensor(39),tensor(39.0392)
tensor(142),tensor(142.1990)
tensor(1),tensor(3.0000)
tensor(8),tensor(7.6480)
tensor(40),tensor(39.9595)
tensor(42),tensor(41.9302)
tensor(13),tensor(12.9971)
tensor(176),tensor(176.1305)
tensor(177),tensor(176.7614)
tensor(140),tensor(140.1543)
tensor(143),tensor(142.9620)
tensor(131),tensor(131.0342)
tensor(172),tensor(172.0578)
tensor(181),tensor(181.4373)
tensor(83),tensor(82.9386)
tensor(84),tensor(84.3545)
tensor(95),tensor(94.8984)
tensor(25),tensor(24.6486)
tensor(153),tensor(153.1600)
tensor(132),tensor(131.9165)
tensor(173),tensor(173.3598)
tensor(197),tensor(196.9731)
tensor(75),tensor(74.6066)
tensor(154),tensor(154.1815)
tensor(41),tensor(41.0228)
tensor(53),tensor(53.1800)
tensor(169),tensor(169.2312)
tensor(162),tensor(161.9479)
tensor(122),tensor(122.0545)
tensor(174),tensor(173.6523)
tensor(198),tensor(197.9768)
tensor(199),tensor(197.9986)
tensor(178),tensor(177.9597)
tensor(182),tensor(179.9998)
tensor(77),tensor(76.9281)
tensor(19),tensor(18.7627)
tensor(38),tensor(37.9409)
tensor(138),tensor(138.2056)
tensor(81),tensor(80.9801)
tensor(66),tensor(66.2842)
tensor(96),tensor(96.0012)
tensor(80),tensor(80.1613)
tensor(163),tensor(163.3351)
tensor(170),tensor(170.0675)
tensor(155),tensor(154.9635)
tensor(133),tensor(132.9762)
tensor(102),tensor(102.0011)
tensor(35),tensor(34.8115)
tensor(104),tensor(103.8305)
tensor(72),tensor(71.9094)
tensor(43),tensor(43.0942)
tensor(14),tensor(14.1023)
tensor(20),tensor(19.8621)
tensor(55),tensor(55.0857)
tensor(108),tensor(107.9330)
tensor(119),tensor(119.2405)
tensor(165),tensor(165.1928)
tensor(76),tensor(75.9201)
tensor(105),tensor(104.8223)
tensor(56),tensor(56.1467)
tensor(27),tensor(26.9137)
tensor(2),tensor(3.0001)
tensor(18),tensor(17.7187)
tensor(180),tensor(179.9986)
tensor(33),tensor(33.2706)
tensor(34),tensor(33.7442)
tensor(88),tensor(87.8806)
tensor(106),tensor(106.2090)
tensor(6),tensor(6.0497)
tensor(54),tensor(53.9813)
tensor(57),tensor(57.0937)
tensor(58),tensor(58.0314)
tensor(29),tensor(28.8781)
tensor(141),tensor(141.1653)
tensor(49),tensor(49.0706)
tensor(21),tensor(20.7852)
tensor(185),tensor(185.0000)
tensor(23),tensor(23.0085)
tensor(50),tensor(50.0060)
tensor(90),tensor(89.6849)
tensor(98),tensor(97.9933)
tensor(73),tensor(72.9004)
tensor(186),tensor(185.7854)
tensor(44),tensor(44.0500)
tensor(7),tensor(6.7123)
tensor(51),tensor(51.1110)
tensor(171),tensor(171.1375)
tensor(62),tensor(61.9136)
tensor(12),tensor(12.1823)
tensor(9),tensor(8.6570)
tensor(30),tensor(29.8518)
tensor(31),tensor(30.9407)
tensor(82),tensor(82.0250)
tensor(60),tensor(60.0216)
tensor(45),tensor(44.9255)
tensor(17),tensor(17.1060)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0011)
tensor(24),tensor(23.8924)
tensor(10),tensor(9.9400)
tensor(11),tensor(10.8950)
tensor(67),tensor(66.7004)
tensor(101),tensor(101.1933)
tensor(97),tensor(96.8854)
tensor(164),tensor(163.9396)
tensor(179),tensor(179.3229)
tensor(183),tensor(183.1199)
tensor(184),tensor(184.1821)
tensor(136),tensor(136.0565)
tensor(109),tensor(108.7223)
tensor(22),tensor(21.9446)
tensor(91),tensor(90.6638)
tensor(187),tensor(187.0325)
tensor(188),tensor(187.8595)
tensor(189),tensor(188.8665)
tensor(28),tensor(27.8835)
tensor(137),tensor(137.3431)
tensor(175),tensor(175.0570)
tensor(146),tensor(146.0164)
tensor(167),tensor(167.0921)
tensor(190),tensor(190.0462)
tensor(46),tensor(46.0280)
tensor(36),tensor(36.0087)
tensor(147),tensor(146.9128)
tensor(148),tensor(147.8555)
tensor(191),tensor(190.9817)
tensor(156),tensor(154.9999)
tensor(134),tensor(134.2373)
tensor(149),tensor(148.9440)
tensor(157),tensor(157.0332)
tensor(192),tensor(191.9255)
tensor(159),tensor(158.8055)
tensor(63),tensor(63.1653)
tensor(64),tensor(63.9949)
tensor(110),tensor(110.1141)
tensor(111),tensor(111.0227)
tensor(144),tensor(143.9977)
tensor(85),tensor(85.0935)
tensor(145),tensor(144.6685)
tensor(126),tensor(125.6444)
tensor(139),tensor(138.9926)
tensor(193),tensor(192.9348)
tensor(194),tensor(193.9506)
tensor(47),tensor(47.1136)
tensor(37),tensor(36.8386)
tensor(26),tensor(25.8902)
tensor(112),tensor(111.7190)
tensor(135),tensor(134.8350)
tensor(100),tensor(99.8628)
tensor(127),tensor(126.7392)
tensor(74),tensor(73.7283)
tensor(195),tensor(194.9348)
tensor(92),tensor(91.9789)
tensor(4),tensor(4.2975)
tensor(5),tensor(5.2697)
tensor(32),tensor(31.8173)
tensor(61),tensor(61.0089)
tensor(128),tensor(128.1011)
tensor(150),tensor(149.9948)
tensor(120),tensor(119.8064)
tensor(68),tensor(68.1977)
tensor(69),tensor(69.3984)
tensor(113),tensor(113.0922)
tensor(86),tensor(85.9250)
tensor(48),tensor(48.0669)
tensor(70),tensor(70.0715)
tensor(71),tensor(70.7406)
tensor(114),tensor(114.0555)
tensor(89),tensor(88.8434)
tensor(107),tensor(107.4331)
tensor(151),tensor(151.0167)
tensor(196),tensor(195.6574)
tensor(160),tensor(160.0242)
tensor(115),tensor(115.2292)
tensor(116),tensor(115.9331)
tensor(161),tensor(161.1840)
tensor(166),tensor(165.4933)
tensor(129),tensor(128.5534)
tensor(117),tensor(116.8650)
tensor(93),tensor(92.7068)
tensor(78),tensor(77.9681)
tensor(87),tensor(87.0163)
tensor(118),tensor(118.0315)
tensor(59),tensor(59.0457)
tensor(130),tensor(130.0986)
